icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a25238,JBU1555 ,United States,1714047974,1714047974,-71.0154,42.3588,,True,1.29,143.44,,,,,False,0
a4f59c,N419AN  ,United States,1714047966,1714047971,-71.0217,42.3616,,True,0.0,104.06,,,,,False,0
aaf0ce,N804AW  ,United States,1714047968,1714047969,-71.0182,42.36,,True,0.0,22.5,,,,,False,0
a1e946,RPA5715 ,United States,1714047973,1714047973,-71.0172,42.3591,,True,1.54,101.25,,,,,False,0
ad6415,FDX822  ,United States,1714047972,1714047974,-71.0213,42.3598,,True,0.0,5.62,,,,7175,False,0
a22ab9,JBU717  ,United States,1714047968,1714047969,-71.0131,42.3659,,True,1.03,289.69,,,,,False,0
a31472,AAY1428 ,United States,1714047964,1714047969,-71.0173,42.3699,,True,0.0,289.69,,,,2705,False,0
a1ba59,RPA5630 ,United States,1714047825,1714047825,-71.023,42.3644,,True,0.0,81.56,,,,,False,0
a6ab27,JBU203  ,United States,1714047972,1714047972,-71.0135,42.367,,True,0.0,78.75,,,,,False,0
aded77,JBU1924 ,United States,1714048868,1714048873,-71.0179,42.369,,True,0.0,298.12,,,,,False,0
ae13d1,FORGE78 ,United States,1714048779,1714048779,-71.0271,42.3744,,True,1.03,30.94,,,,5610,False,0
a8b8ba,JBU592  ,United States,1714048874,1714048874,-71.0128,42.3685,,True,5.92,225.0,,,,7067,False,0
a4870d,FFT2167 ,United States,1714048874,1714048874,-71.0124,42.358,,True,3.09,199.69,,,,,False,0
a1010c,FDX647  ,United States,1714048867,1714048872,-71.021,42.3584,,True,0.0,210.94,,,,5672,False,0
a3b808,JBU2127 ,United States,1714048874,1714048874,-71.0143,42.3581,,True,0.0,16.88,,,,,False,0
a2b26b,JBU167  ,United States,1714048863,1714048863,-71.0142,42.3674,,True,0.0,345.94,,,,,False,0
a898a9,JBU373  ,United States,1714048874,1714048874,-71.013,42.3567,,True,0.77,199.69,,,,,False,0
a3f8b8,AAL1502 ,United States,1714048872,1714048872,-71.0143,42.3535,,True,0.0,25.31,,,,,False,0
ace063,JBU778  ,United States,1714048871,1714048874,-71.0174,42.3677,,True,0.0,213.75,,,,,False,0
a3619c,JBU2385 ,United States,1714048870,1714048870,-71.0131,42.3656,,True,0.0,194.06,,,,,False,0
a9a901,DAL923  ,United States,1714048871,1714048871,-71.014,42.354,,True,0.0,19.69,,,,,False,0
a20347,RPA5632 ,United States,1714048874,1714048874,-71.0063,42.3714,,True,0.0,315.0,,,,6645,False,0
aa7f03,UAL311  ,United States,1714048874,1714048874,-71.0153,42.3591,,True,4.12,185.62,,,,,False,0
aa6113,AAL910  ,United States,1714048874,1714048874,-71.0049,42.3654,,True,30.35,19.69,,,,2172,False,0
a4f59c,AAL2575 ,United States,1714048866,1714048873,-71.0218,42.3616,,True,0.0,104.06,,,,,False,0
a1dd2d,RPA5646 ,United States,1714048874,1714048874,-71.0149,42.3601,,True,4.89,199.69,,,,6736,False,0
aaf0ce,AAL2153 ,United States,1714048869,1714048874,-71.0182,42.36,,True,0.0,22.5,,,,,False,0
a230d6,RPA5652 ,United States,1714048871,1714048874,-71.0203,42.3634,,True,0.0,210.94,,,,,False,0
ad6415,FDX822  ,United States,1714048871,1714048871,-71.0138,42.3546,,True,0.0,5.62,,,,7175,False,0
a6b470,DAL499  ,United States,1714048874,1714048874,-71.0234,42.3624,,True,1.54,182.81,,,,,False,0
a31472,AAY1428 ,United States,1714048866,1714048871,-71.0173,42.3699,,True,0.0,289.69,,,,2705,False,0
a1ba59,RPA5630 ,United States,1714048873,1714048873,-71.0167,42.3563,,True,0.0,199.69,,,,,False,0
ad159b,PDT5817 ,United States,1714048874,1714048874,-71.0092,42.3564,,True,34.98,75.94,,,,,False,0
a35c97,JBU2230 ,United States,1714048872,1714048872,-71.0143,42.3666,,True,2.31,213.75,,,,,False,0
a6c3ca,JBU365  ,United States,1714048874,1714048874,-71.016,42.3676,,True,0.0,151.88,,,,,False,0
aded77,JBU1924 ,United States,1714049772,1714049774,-71.0179,42.3691,,True,0.0,298.12,,,,,False,0
a08acb,RPA4283 ,United States,1714049772,1714049772,-71.0224,42.3625,,True,0.0,202.5,,,,,False,0
a22358,RPA5778 ,United States,1714049771,1714049773,-71.0216,42.3636,,True,0.0,36.56,,,,2707,False,0
a48686,CNS511  ,United States,1714049774,1714049774,-71.0224,42.3747,,True,2.83,30.94,,,,,False,0
a8b8ba,JBU592  ,United States,1714049772,1714049772,-71.0156,42.3688,,True,0.0,185.62,,,,7067,False,0
a1010c,FDX647  ,United States,1714049773,1714049773,-71.021,42.3584,,True,0.0,210.94,,,,5672,False,0
a2b26b,JBU167  ,United States,1714049772,1714049772,-71.0125,42.3577,,True,0.9,199.69,,,,,False,0
acbe37,AAL2600 ,United States,1714049761,1714049762,-71.0195,42.3598,,True,0.45,120.94,,,,,False,0
ac159a,RPA5688 ,United States,1714049774,1714049774,-71.0104,42.3708,,True,11.32,205.31,,,,5733,False,0
a38cd2,JBU2832 ,United States,1714049752,1714049759,-71.0141,42.3655,,True,0.0,329.06,,,,,False,0
ace063,JBU778  ,United States,1714049768,1714049773,-71.0174,42.3677,,True,0.0,213.75,,,,,False,0
a3619c,JBU2385 ,United States,1714049774,1714049774,-71.0128,42.3572,,True,0.0,199.69,,,,,False,0
a74d57,KAP54   ,United States,1714049774,1714049774,-71.0103,42.3562,,True,30.35,75.94,,,,,False,0
aa6113,AAL910  ,United States,1714049440,1714049516,-71.017,42.3599,,True,0.0,317.81,,,,2172,False,0
a32ef8,JBU2186 ,United States,1714049763,1714049763,-71.0139,42.3676,,True,0.0,300.94,,,,,False,0
a4f59c,AAL2575 ,United States,1714049771,1714049771,-71.0217,42.3616,,True,0.0,104.06,,,,,False,0
a24aca,JBU1554 ,United States,1714049678,1714049678,-71.0151,42.3647,,True,0.77,16.88,,,,5601,False,0
a22a25,RAX957  ,United States,1714049687,1714049687,-71.022,42.3738,,True,0.32,312.19,,,,1577,False,0
a661bf,DAL456  ,United States,1714049774,1714049774,-71.0138,42.3546,,True,2.31,19.69,,,,,False,0
a84d62,JBU2966 ,United States,1714049774,1714049775,-71.005,42.3652,-121.92,False,50.77,19.54,-0.33,,-22.86,2422,False,0
aaf0ce,AAL2153 ,United States,1714049767,1714049774,-71.0182,42.36,,True,0.0,22.5,,,,,False,0
a4493a,UAL515  ,United States,1714049753,1714049757,-71.0158,42.3602,,True,0.0,196.88,,,,,False,0
a230d6,RPA5652 ,United States,1714049724,1714049725,-71.013,42.3566,,True,0.9,196.88,,,,,False,0
aca94b,AAL873  ,United States,1714049770,1714049770,-71.0209,42.3622,,True,0.0,163.12,,,,,False,0
a555f5,KAP82   ,United States,1714049774,1714049774,-71.0109,42.3653,,True,4.12,289.69,,,,,False,0
a2941c,KAP902  ,United States,1714049488,1714049488,-71.016,42.3647,,True,2.31,0.0,,,,,False,0
a31472,AAY1428 ,United States,1714049767,1714049772,-71.0173,42.3699,,True,0.0,289.69,,,,2705,False,0
a35c97,JBU2230 ,United States,1714049767,1714049772,-71.0147,42.3661,,True,0.06,213.75,,,,,False,0
a42e13,DAL1632 ,United States,1714049774,1714049774,-71.0121,42.3659,,True,9.26,199.69,,,,5773,False,0
a6c3ca,JBU365  ,United States,1714049766,1714049772,-71.016,42.3676,,True,0.0,151.88,,,,,False,0
acd481,AAL884  ,United States,1714050472,1714050472,-71.0201,42.3614,,True,0.0,25.31,,,,2554,False,0
aded77,JBU1924 ,United States,1714050674,1714050674,-71.0179,42.3691,,True,0.0,298.12,,,,,False,0
a1b449,RPA5716 ,United States,1714050673,1714050673,-71.0145,42.361,,True,3.34,199.69,,,,0517,False,0
a22358,RPA5778 ,United States,1714050672,1714050675,-71.0216,42.3636,,True,0.0,36.56,,,,,False,0
a28545,KAP1011 ,United States,1714050674,1714050674,-71.0082,42.3645,,True,6.94,292.5,,,,,False,0
a8b8ba,JBU592  ,United States,1714050670,1714050675,-71.0156,42.3688,,True,0.0,185.62,,,,7067,False,0
a1010c,FDX647  ,United States,1714050674,1714050674,-71.0165,42.3583,,True,4.89,101.25,,,,5672,False,0
a08a6b,DAL     ,United States,1714050674,1714050674,-71.0151,42.3597,,True,1.54,199.69,,,,,False,0
a2348d,RPA5697 ,United States,1714050609,1714050617,-71.0236,42.364,,True,0.19,149.06,,,,,False,0
a29611,JBU2718 ,United States,1714050667,1714050667,-71.0152,42.367,,True,0.77,334.69,,,,7153,False,0
a35fc2,JBU552  ,United States,1714050673,1714050673,-71.0144,42.3651,,True,0.06,320.62,,,,1066,False,0
acbe37,AAL2600 ,United States,1714050673,1714050674,-71.0098,42.3551,,True,33.95,19.69,,,,,False,0
a75da2,DAL1748 ,United States,1714050647,1714050674,-71.0229,42.3649,,True,0.0,78.75,,,,,False,0
ad935b,JBU2051 ,United States,1714050672,1714050672,-71.0169,42.3676,,True,0.0,208.12,,,,,False,0
a8c028,JBU1830 ,United States,1714050673,1714050673,-71.0146,42.3693,,True,0.0,315.0,,,,4136,False,0
a38cd2,JBU531  ,United States,1714050652,1714050652,-71.0141,42.3655,,True,0.0,329.06,,,,,False,0
ace063,JBU778  ,United States,1714050625,1714050630,-71.0174,42.3677,,True,0.0,213.75,,,,,False,0
a19691,RPA5591 ,United States,1714050666,1714050674,-71.0237,42.365,,True,0.0,177.19,,,,,False,0
a037b2,DAL2388 ,United States,1714050675,1714050675,-71.0116,42.367,,True,9.26,196.88,,,,3646,False,0
a4f59c,AAL2575 ,United States,1714050661,1714050670,-71.0228,42.3619,,True,0.0,199.69,,,,,False,0
a48ac4,FFT3012 ,United States,1714050675,1714050675,-71.0093,42.3726,,True,6.43,205.31,,,,1634,False,0
a84d62,JBU2966 ,United States,1714050556,1714050556,-71.0148,42.3683,,True,0.0,247.5,,,,2422,False,0
aaf0ce,AAL2153 ,United States,1714050675,1714050675,-71.013,42.3567,,True,2.06,199.69,,,,,False,0
aca94b,AAL873  ,United States,1714050666,1714050670,-71.0209,42.3622,,True,0.0,163.12,,,,,False,0
a31472,AAY1428 ,United States,1714050672,1714050672,-71.0105,42.3619,,True,5.4,188.44,,,,2705,False,0
a48315,DAL1607 ,United States,1714050674,1714050674,-71.0205,42.3602,,True,4.12,120.94,,,,,False,0
a35c97,JBU2033 ,United States,1714050671,1714050671,-71.0147,42.3661,,True,0.06,213.75,,,,,False,0
a23bfb,RPA5762 ,United States,1714050670,1714050671,-71.022,42.3609,,True,0.0,120.94,,,,,False,0
a6c3ca,JBU365  ,United States,1714050420,1714050420,-71.0166,42.369,,True,0.0,33.75,,,,,False,0
a41412,DAL1642 ,United States,1714051563,1714051565,-71.0235,42.364,,True,0.0,149.06,,,,,False,0
a1b449,RPA5716 ,United States,1714051574,1714051574,-71.0204,42.3638,,True,0.0,306.56,,,,0517,False,0
a22358,RPA5778 ,United States,1714051392,1714051414,-71.0216,42.3636,,True,0.0,36.56,,,,,False,0
ac2ba0,SWA862  ,United States,1714051574,1714051574,-71.0145,42.3454,-53.34,False,76.31,19.29,-4.23,,45.72,6507,False,0
a8b8ba,JBU592  ,United States,1714051571,1714051571,-71.0156,42.3688,,True,0.0,185.62,,,,7067,False,0
a08a6b,DAL     ,United States,1714051573,1714051573,-71.023,42.3649,,True,0.06,78.75,,,,,False,0
a35fc2,JBU552  ,United States,1714051570,1714051570,-71.0144,42.3651,,True,0.06,320.62,,,,1066,False,0
a75da2,DAL1748 ,United States,1714051574,1714051574,-71.0122,42.3559,,True,0.0,78.75,,,,,False,0
ad935b,JBU2051 ,United States,1714051573,1714051573,-71.0169,42.3676,,True,0.0,208.12,,,,,False,0
abe056,SWA727  ,United States,1714051570,1714051570,-71.0089,42.3731,,True,5.14,272.81,,,,6576,False,0
a38cd2,JBU531  ,United States,1714051435,1714051435,-71.0141,42.3654,,True,0.0,329.06,,,,,False,0
a874a4,FFT3347 ,United States,1714051573,1714051574,-71.0254,42.3729,,True,0.0,126.56,,,,,False,0
aa6113,AAL1315 ,United States,1714051574,1714051574,-71.017,42.3599,,True,0.0,317.81,,,,,False,0
a32ef8,JBU2186 ,United States,1714051306,1714051311,-71.0223,42.3716,,True,0.0,225.0,,,,,False,0
a37df6,JBU1245 ,United States,1714051569,1714051569,-71.0135,42.3629,,True,8.23,199.69,,,,,False,0
a84d62,JBU1061 ,United States,1714051566,1714051566,-71.0148,42.3683,,True,0.0,247.5,,,,,False,0
aca94b,AAL873  ,United States,1714051574,1714051574,-71.0167,42.3564,,True,5.66,199.69,,,,,False,0
a22ac6,RPA5734 ,United States,1714051572,1714051572,-71.0231,42.3623,,True,3.86,348.75,,,,3051,False,0
a3ac7a,DAL336  ,United States,1714051570,1714051570,-71.0149,42.36,,True,9.26,199.69,,,,3115,False,0
a35c97,JBU2033 ,United States,1714051563,1714051570,-71.0147,42.3661,,True,0.06,213.75,,,,,False,0
a6c3ca,JBU365  ,United States,1714051281,1714051281,-71.0124,42.3579,,True,0.0,199.69,,,,,False,0
a3f473,JBU1883 ,United States,1714052474,1714052474,-71.0135,42.3686,,True,0.64,140.62,,,,,False,0
